wind_speed,swr,LAKE_PARAMS/c_relax_C,par_id
1.5321,1.3084,0.009359,p0001
1.0918,0.99822,0.0021909,p0002
0.28361,0.3294,0.0014438,p0003
0.68459,0.84443,0.001476,p0004
0.98139,1.1306,0.00057568,p0005
0.60408,0.24063,0.0045944,p0006
0.4004,1.0056,0.0080918,p0007
0.16641,1.0575,0.0046645,p0008
1.4147,0.38436,0.0012758,p0009
0.37783,0.34582,0.00051156,p0010
0.68093,1.46,0.00027282,p0011
0.55354,0.52919,0.00018161,p0012
1.7578,0.14519,0.00011732,p0013
0.24587,0.55166,0.00038193,p0014
0.1903,0.9081,0.00046742,p0015
1.8835,0.49037,0.00011283,p0016
1.0098,0.6603,0.00013369,p0017
1.1739,1.1776,0.00079894,p0018
0.76391,1.0861,0.00015074,p0019
1.5753,0.42461,0.00094722,p0020
1.3526,1.2236,0.00050258,p0021
0.39174,0.76681,0.0011407,p0022
1.3588,0.9872,0.0014282,p0023
1.3124,0.39181,0.00015331,p0024
0.86543,0.1363,0.0029309,p0025
1.7834,0.75557,0.0034931,p0026
1.0964,0.18739,0.00016303,p0027
0.66601,0.28951,0.00032125,p0028
1.441,0.63009,0.00098929,p0029
1.8299,0.81098,0.0042648,p0030
0.96781,1.1906,0.00058982,p0031
0.13148,1.2727,0.0035272,p0032
1.4517,0.68974,0.0075216,p0033
1.5359,0.4684,0.0039959,p0034
0.31942,0.91374,0.0067612,p0035
1.5649,0.9432,0.0011994,p0036
0.56925,0.36398,0.00019077,p0037
0.11839,0.93315,0.0010766,p0038
1.612,0.43152,0.00012773,p0039
1.5203,0.27108,0.0084588,p0040
0.85598,1.3182,0.0062853,p0041
1.7219,1.3243,0.00017044,p0042
1.8895,0.74718,0.0085723,p0043
0.33502,1.429,0.0012139,p0044
1.3262,0.19955,0.00023241,p0045
1.6661,0.85487,0.0005676,p0046
0.93504,0.29368,0.00020269,p0047
0.15271,1.2289,0.0053332,p0048
0.86208,1.2209,0.0013102,p0049
0.73412,1.4952,0.0059835,p0050
1.3499,0.1413,0.00017688,p0051
0.63308,1.3852,0.004073,p0052
1.1829,1.2811,0.00084834,p0053
0.15858,0.90261,0.0010114,p0054
1.1057,0.57392,0.00013062,p0055
0.20382,0.2047,0.00014318,p0056
0.32324,0.82641,0.00013895,p0057
1.3062,0.62176,0.00024605,p0058
0.52072,0.80673,0.0051094,p0059
1.372,1.1643,0.00043277,p0060
0.83522,0.25064,0.0012448,p0061
1.5588,0.40602,0.00024238,p0062
0.25529,1.4674,0.00010737,p0063
0.70446,1.4396,0.0048097,p0064
1.6222,0.76598,0.0010453,p0065
0.32595,0.88565,0.00041282,p0066
0.91962,0.3578,0.0027135,p0067
1.4794,0.3211,0.00018465,p0068
0.48164,0.3142,0.00033405,p0069
0.7867,0.51735,0.0012484,p0070
1.2887,0.22469,0.0077132,p0071
0.50808,0.30982,0.00080719,p0072
1.4087,0.23651,0.00038446,p0073
1.8948,0.28248,0.00046169,p0074
1.195,1.3541,0.0084948,p0075
1.4975,1.0143,0.00022644,p0076
1.3621,0.52051,0.0010551,p0077
0.50129,1.3676,0.00010986,p0078
0.61867,1.475,0.0030284,p0079
0.77495,1.169,0.0017258,p0080
0.85832,0.5962,0.0018122,p0081
1.6311,0.77185,0.00017347,p0082
0.84953,1.1729,0.0031931,p0083
1.1307,0.88211,0.00039393,p0084
0.84309,0.67168,0.0023509,p0085
1.9963,0.79646,0.00039955,p0086
1.0912,1.1714,0.00016476,p0087
0.29438,1.0039,0.0020324,p0088
1.8554,0.63947,0.00026146,p0089
1.7004,0.91782,0.00028418,p0090
0.6067,1.3334,0.00026496,p0091
0.50313,0.15551,0.0045617,p0092
1.9703,0.29641,0.00012238,p0093
0.89398,0.76002,0.00036148,p0094
1.9496,0.34906,0.0044644,p0095
0.63879,1.0088,0.0075893,p0096
1.4634,0.2816,0.0023929,p0097
1.6712,0.30034,0.00020464,p0098
1.29,1.4071,0.0038943,p0099
0.19872,1.0831,0.0065772,p0100
1.1011,1.4248,0.00019264,p0101
1.3767,1.3457,0.0001285,p0102
1.4173,1.2561,0.0041369,p0103
1.6907,1.2602,0.0012976,p0104
1.2726,0.52649,0.00030543,p0105
1.9545,0.50125,0.0012933,p0106
1.7898,0.82023,0.0050138,p0107
0.12513,1.377,0.0003268,p0108
0.79665,1.3227,0.003272,p0109
0.93918,0.21666,0.00011812,p0110
0.40768,0.50603,0.00022403,p0111
0.8902,0.17091,0.0078786,p0112
0.18065,0.73149,0.00094216,p0113
0.33695,1.2863,0.0009917,p0114
1.6398,0.9745,0.00028917,p0115
0.71587,0.41537,0.00014791,p0116
1.7127,0.47587,0.00023039,p0117
0.72546,0.18434,0.0018549,p0118
1.189,0.70482,0.0083763,p0119
1.125,0.2856,0.00022144,p0120
1.7662,0.8986,0.0064956,p0121
1.6808,0.56478,0.0019165,p0122
1.4314,1.2068,0.0024789,p0123
1.9002,0.86432,0.001703,p0124
0.5759,1.3583,0.0064827,p0125
1.9191,0.36243,0.00015955,p0126
0.69925,0.46197,0.00072265,p0127
1.2234,0.73456,0.0039796,p0128
1.3957,0.1296,0.00028217,p0129
1.1685,1.1406,0.0090768,p0130
1.6995,0.84188,0.008665,p0131
1.1599,0.57307,0.00036736,p0132
1.2066,0.72627,0.001225,p0133
0.3937,1.0389,0.00024882,p0134
1.346,0.61525,0.0018253,p0135
0.41009,0.63484,0.0097854,p0136
1.5461,0.92422,0.0017394,p0137
1.2853,0.10924,0.00047895,p0138
1.0371,1.4338,0.00081209,p0139
1.9436,1.4531,0.00035722,p0140
1.1858,1.4727,0.0059209,p0141
1.2332,0.61301,0.0035858,p0142
1.3168,0.63395,0.00023364,p0143
1.9327,1.4814,0.0025094,p0144
1.8139,1.0952,0.00067365,p0145
0.49595,0.5355,0.0019598,p0146
0.2135,1.2319,0.00045507,p0147
0.48985,0.85784,0.00065645,p0148
1.774,1.4577,0.00020677,p0149
1.4067,0.40435,0.0021609,p0150
0.59298,0.21928,0.00042074,p0151
0.23062,0.33187,0.00010893,p0152
1.8751,1.1007,0.00070338,p0153
1.3682,0.95649,0.00048668,p0154
1.2689,1.4852,0.00021544,p0155
1.4349,0.12545,0.00010452,p0156
0.27749,0.33327,0.0011829,p0157
1.7639,0.83632,0.0017543,p0158
0.94297,1.2416,0.00053409,p0159
1.2021,0.16643,0.00044658,p0160
0.28655,0.32625,0.002006,p0161
0.58131,0.53355,0.00083574,p0162
0.33032,1.0283,0.0015403,p0163
0.78383,0.33559,0.00029389,p0164
0.58642,0.85997,0.0027541,p0165
0.35535,0.71448,0.0097038,p0166
0.30643,0.86683,0.0077884,p0167
0.60157,1.0664,0.0013912,p0168
1.2748,0.71862,0.00035562,p0169
0.29295,0.43565,0.0006637,p0170
0.43933,1.4099,0.0025211,p0171
1.9303,1.3117,0.00050972,p0172
0.81115,1.49,0.0019525,p0173
1.9799,0.95877,0.0031476,p0174
0.6447,0.39895,0.00013631,p0175
1.0664,0.83012,0.0011736,p0176
1.1932,0.25259,0.00043896,p0177
1.6819,0.89795,0.00012586,p0178
1.7512,0.53862,0.0003948,p0179
0.93005,1.214,0.00056343,p0180
0.36118,0.89473,0.00096806,p0181
0.26736,1.1849,0.00018252,p0182
1.1104,0.3773,0.0028648,p0183
1.0429,0.2647,0.0039159,p0184
1.2006,1.0242,0.007104,p0185
1.4825,1.2675,0.00016761,p0186
1.1351,1.2002,0.0071929,p0187
0.52185,0.47109,0.0034654,p0188
0.54089,0.98821,0.00040747,p0189
1.986,1.4655,0.0029667,p0190
1.6532,0.58498,0.00030262,p0191
0.87811,0.92912,0.0011155,p0192
0.88182,0.3518,0.000516,p0193
0.99552,0.11854,0.00093341,p0194
1.8573,0.80165,0.0001714,p0195
0.98441,0.50506,0.00010055,p0196
0.36892,0.78092,0.0010583,p0197
1.844,1.2837,0.00010815,p0198
0.41749,0.70007,0.00037289,p0199
1.5736,0.1574,0.0011207,p0200
0.73816,0.5992,0.0002074,p0201
0.20108,0.44958,0.00097489,p0202
1.8705,0.19235,0.0057019,p0203
0.64073,0.43976,0.0007135,p0204
1.3976,0.86981,0.0037595,p0205
0.46253,0.24655,0.0015783,p0206
1.3801,1.0895,0.0044395,p0207
1.4207,1.2094,0.006848,p0208
1.4914,0.25817,0.0010875,p0209
0.48415,1.1366,0.0061067,p0210
1.7817,0.76256,0.0022469,p0211
0.3434,1.4142,0.00014697,p0212
0.38682,1.3302,0.0016667,p0213
0.13908,0.64474,0.0003435,p0214
1.7269,0.45617,0.00029208,p0215
0.45409,1.2586,0.00075591,p0216
1.8049,0.73928,0.001151,p0217
1.3847,0.41936,0.0072857,p0218
0.36269,0.54283,0.0017917,p0219
1.8329,1.2361,0.0016554,p0220
0.19282,0.12342,0.00034699,p0221
1.3294,0.83861,0.0048426,p0222
0.98666,1.0713,0.00017827,p0223
0.76864,0.35481,0.00057255,p0224
1.637,0.60528,0.0041898,p0225
0.31066,0.65283,0.00061198,p0226
1.4464,0.59232,0.009219,p0227
1.8743,1.081,0.00019013,p0228
1.07,0.41299,0.0093865,p0229
0.95023,0.3749,0.00017951,p0230
1.2604,0.95173,0.0014947,p0231
1.2365,0.80282,0.00033599,p0232
0.42405,1.0921,0.0049451,p0233
1.6627,0.68397,0.0026205,p0234
1.1113,1.3416,0.00077586,p0235
0.52795,0.94261,0.0037143,p0236
1.6055,0.79853,0.00011251,p0237
0.21008,1.3739,0.00041719,p0238
1.8446,0.6588,0.0047408,p0239
1.3209,1.0513,0.00052488,p0240
0.54508,0.44632,0.0021461,p0241
0.91633,0.66529,0.0020265,p0242
0.37443,1.3987,0.0024158,p0243
0.1101,0.45174,0.0013985,p0244
1.2291,0.36721,0.001133,p0245
0.7442,0.51667,0.0052443,p0246
0.69401,1.3747,0.00043205,p0247
0.87328,0.34082,0.0069568,p0248
0.35401,1.2495,0.0078166,p0249
0.23627,1.2928,0.0013456,p0250
0.82697,1.4208,0.0022107,p0251
0.31368,0.54698,0.00072506,p0252
1.7555,1.3014,0.00059939,p0253
1.9935,0.79363,0.00047347,p0254
1.8077,0.37325,0.00027392,p0255
1.2274,0.62389,0.0073911,p0256
1.2553,0.40046,0.00026741,p0257
0.42934,0.99432,0.0021793,p0258
0.72771,1.126,0.0014158,p0259
0.51775,1.3041,0.00032243,p0260
0.56384,0.55509,0.0011054,p0261
1.1661,1.2889,0.00010164,p0262
0.99687,1.2386,0.0032502,p0263
1.0572,0.98473,0.0017061,p0264
1.0334,1.2146,0.0015447,p0265
1.827,0.68007,0.0001406,p0266
1.2551,0.64123,0.00013523,p0267
1.5807,0.89018,0.0002555,p0268
0.44973,0.49444,0.0017853,p0269
1.0181,1.1224,0.00018796,p0270
0.18365,0.48548,0.0001231,p0271
0.79474,0.78038,0.0012697,p0272
1.8821,0.95098,0.0025654,p0273
0.30429,0.35328,0.0016321,p0274
0.66036,1.0106,0.005543,p0275
0.90081,0.72812,0.0091519,p0276
1.4743,0.31053,0.0028844,p0277
1.1378,1.4436,0.0028203,p0278
0.25127,0.45468,0.0001579,p0279
1.0633,0.1199,0.00062729,p0280
1.3096,0.27627,0.0036307,p0281
1.0854,0.62879,0.00022793,p0282
0.43574,0.87674,0.001524,p0283
0.513,0.21076,0.00090356,p0284
1.9231,0.54043,0.00037944,p0285
1.6954,1.4321,0.0063113,p0286
1.7449,1.3644,0.0043818,p0287
0.55969,0.60191,0.0051679,p0288
1.5845,1.0767,0.00055285,p0289
1.1156,1.0314,0.00013776,p0290
0.23701,0.60739,0.0031275,p0291
0.97609,0.4253,0.0025409,p0292
1.4853,0.13318,0.002251,p0293
0.91101,0.38913,0.00074995,p0294
1.5031,0.14774,0.0040984,p0295
0.16241,1.2779,0.0023131,p0296
0.65459,1.1467,0.0010247,p0297
1.1288,1.394,0.0001408,p0298
0.8395,0.56683,0.00088928,p0299
1.1451,0.72241,0.0045044,p0300
0.81687,0.47923,0.00021025,p0301
1.0391,0.22909,0.00018663,p0302
0.35012,0.70422,0.008304,p0303
0.97201,0.17299,0.0089609,p0304
0.13529,0.43703,0.0002599,p0305
0.21626,1.15,0.00019481,p0306
1.4243,0.11615,0.00053458,p0307
1.0133,0.43008,0.00027697,p0308
1.2664,0.51385,0.0030745,p0309
0.92247,1.1969,0.00011971,p0310
1.2127,0.56835,0.00012613,p0311
1.821,0.58828,0.0013667,p0312
0.44216,1.1499,0.00036586,p0313
0.39928,1.1167,0.0042415,p0314
0.37352,1.2521,0.00082983,p0315
0.65016,0.66858,0.00011565,p0316
0.46892,0.99062,0.0054867,p0317
1.1515,1.114,0.00062308,p0318
0.87036,1.0536,0.00047691,p0319
1.1211,0.87919,0.0038052,p0320
1.7072,1.206,0.0057923,p0321
1.3555,0.25645,0.0019913,p0322
0.47777,0.77651,0.00063331,p0323
1.9146,0.73578,0.00033764,p0324
1.7332,1.3823,0.0009216,p0325
1.0243,1.2032,0.0099086,p0326
1.7349,0.66802,0.004902,p0327
1.6551,0.90932,0.00060785,p0328
1.3386,1.3363,0.00081999,p0329
0.57241,1.1802,0.0019243,p0330
1.9917,0.55884,0.0013262,p0331
0.27116,0.6978,0.0020804,p0332
0.26134,0.14224,0.0037806,p0333
0.26707,0.97086,0.0027599,p0334
1.5483,0.30248,0.0088728,p0335
1.1442,1.3934,0.00537,p0336
0.46727,0.39598,0.00012107,p0337
0.67023,0.71048,0.00010309,p0338
0.47323,0.83205,0.0026892,p0339
0.25912,1.4777,0.00013027,p0340
1.539,0.10602,0.00065195,p0341
1.5629,0.44374,0.0001628,p0342
1.2196,0.18065,0.00055956,p0343
0.2265,0.27669,0.0043547,p0344
1.9533,0.17626,0.00076497,p0345
1.3998,0.814,0.00041575,p0346
0.75217,0.26895,0.0087763,p0347
0.21833,0.67578,0.00073798,p0348
0.80925,0.88746,0.0023117,p0349
1.0592,1.1885,0.00019929,p0350
1.0517,1.4047,0.00068646,p0351
1.8368,0.1506,0.00034414,p0352
1.5986,1.2956,0.00014952,p0353
1.8009,1.3144,0.0012024,p0354
1.8497,0.40883,0.0011635,p0355
1.6749,0.96958,0.006042,p0356
0.95466,0.78848,0.00067942,p0357
1.1635,0.69268,0.00021451,p0358
0.68924,1.0415,0.0035461,p0359
0.17547,0.30601,0.00013206,p0360
0.89758,1.4888,0.0006412,p0361
0.9277,0.61062,0.00029831,p0362
0.54014,1.0631,0.00044188,p0363
1.7255,0.22217,0.00023703,p0364
1.6169,0.45923,0.00059343,p0365
1.3909,1.4479,0.0046554,p0366
0.80323,1.4627,0.0073367,p0367
0.43112,0.23726,0.00084636,p0368
1.6318,0.26204,0.0003162,p0369
0.67434,0.22797,0.00049446,p0370
0.65482,0.67801,0.0019,p0371
0.15411,1.1131,0.00023879,p0372
1.0297,1.0988,0.0020936,p0373
0.90747,1.3844,0.0033759,p0374
1.3041,1.4226,0.003095,p0375
1.6877,1.2737,0.0047742,p0376
0.62476,0.26602,0.0033569,p0377
0.17077,0.32367,0.00031724,p0378
1.792,0.56187,0.0028527,p0379
0.4148,0.11391,0.0066401,p0380
0.80173,0.16898,0.0080515,p0381
1.9266,0.68625,0.00030994,p0382
0.78956,0.64942,0.00019643,p0383
1.5137,0.20284,0.0056002,p0384
0.10279,1.3502,0.00014487,p0385
0.61339,0.74466,0.006678,p0386
1.0045,1.1107,0.00088523,p0387
0.95779,1.0182,0.0002801,p0388
1.5256,0.10053,0.0029477,p0389
0.1762,1.1438,0.00011165,p0390
1.2144,1.2452,0.0036648,p0391
1.2491,1.0196,0.001376,p0392
1.0826,0.84556,0.00069489,p0393
1.5956,0.59536,0.0056803,p0394
1.9618,1.0466,0.00028762,p0395
0.76028,0.81234,0.00078052,p0396
0.96392,1.3007,0.0001023,p0397
1.587,0.52429,0.00052288,p0398
1.8229,1.0365,0.00085846,p0399
0.45945,1.3891,0.00016035,p0400
1.4898,0.57702,0.00086578,p0401
0.83159,0.38602,0.0074525,p0402
1.8114,0.31682,0.00048978,p0403
1.3412,1.1605,0.0010691,p0404
1.939,1.1932,0.00054334,p0405
0.53472,1.4992,0.00025616,p0406
1.66,0.49913,0.0050991,p0407
0.73955,0.51071,0.0033374,p0408
1.7454,0.75161,0.00011437,p0409
0.38176,1.0231,0.001678,p0410
1.5909,0.85218,0.00025196,p0411
0.58508,1.4011,0.0020661,p0412
0.62399,1.1355,0.0062095,p0413
1.0792,0.58275,0.0058847,p0414
0.24433,1.4931,0.00087344,p0415
0.71033,1.4504,0.00070594,p0416
1.9125,0.81934,0.00091793,p0417
1.2975,0.3697,0.00014398,p0418
0.56338,0.82491,0.00050043,p0419
0.8466,1.2277,0.00044935,p0420
0.7201,0.93628,0.00035151,p0421
0.10422,1.2682,0.0036315,p0422
0.49431,1.3545,0.00078987,p0423
1.178,1.154,0.00040294,p0424
0.55031,1.2978,0.00090597,p0425
0.62831,1.1208,0.007046,p0426
0.75598,0.92873,0.0015117,p0427
1.3321,0.98067,0.0069182,p0428
0.71416,0.29041,0.0010355,p0429
1.5233,1.1816,0.0040513,p0430
0.82242,1.3463,0.0094681,p0431
1.4686,0.78938,0.0013306,p0432
1.6251,0.78395,0.0025942,p0433
1.7964,1.3396,0.0015997,p0434
1.965,1.0009,0.00054799,p0435
0.14585,1.1028,0.00032814,p0436
1.5408,0.65536,0.00012468,p0437
0.701,0.93824,0.002443,p0438
1.2933,0.38092,0.0049746,p0439
1.6492,1.3626,0.0098686,p0440
0.12209,0.96152,0.0063765,p0441
1.7759,0.61943,0.0021224,p0442
1.6441,1.219,0.00015423,p0443
0.90409,1.411,0.000583,p0444
1.8921,0.9483,0.00045852,p0445
1.453,0.16263,0.0026367,p0446
1.0012,0.75427,0.00011625,p0447
0.77922,1.3288,0.0023671,p0448
0.61165,1.316,0.00015275,p0449
1.6015,0.91724,0.0027807,p0450
0.34308,0.47351,0.00061516,p0451
1.9833,0.58,0.0080122,p0452
1.0766,0.20666,0.0031812,p0453
1.8662,1.1558,0.0061627,p0454
1.7178,0.92149,0.00095584,p0455
0.42079,0.23172,0.0038432,p0456
1.5118,0.48714,0.0042999,p0457
1.2414,0.64798,0.000212,p0458
1.2457,0.41698,0.0018751,p0459
1.9016,1.2622,0.0014509,p0460
1.2781,0.97725,0.00031073,p0461
0.68785,0.49629,0.00038915,p0462
0.66642,0.7085,0.0055597,p0463
1.1556,0.13645,0.0014659,p0464
1.9399,1.4707,0.00017498,p0465
0.13036,0.6954,0.0010079,p0466
1.9737,1.064,0.00042711,p0467
1.9667,1.1637,0.0096271,p0468
0.81907,0.24324,0.00064687,p0469
0.88532,1.0721,0.0026568,p0470
1.6139,0.34058,0.00076698,p0471
1.0229,1.244,0.0088434,p0472
1.8609,0.87394,0.00010501,p0473
0.94451,0.21456,0.0024474,p0474
1.3827,1.0785,0.008204,p0475
0.59474,0.77201,0.005836,p0476
1.4989,1.4382,0.00073242,p0477
0.53207,1.4455,0.00026821,p0478
0.44663,0.19743,0.00025105,p0479
0.77196,0.87193,0.00016723,p0480
1.7386,1.1054,0.0022871,p0481
0.74751,0.74396,0.0034103,p0482
0.95905,1.1282,0.0016266,p0483
1.5679,1.046,0.0015933,p0484
1.7106,0.46589,0.000218,p0485
1.7715,1.0581,0.00024079,p0486
1.4655,0.84897,0.0071578,p0487
