wind_speed,swr,mixing/coef_mix_hyp,sediment/sed_temp_mean,sediment/sed_temp_mean,par_id
1.0367,0.17059,0.26902,16.158,7.6269,p0001
0.75462,0.97307,0.35166,0.99324,16.791,p0002
0.31588,1.348,1.6927,19.28,1.8632,p0003
0.71804,0.68408,1.2503,10.094,0.93142,p0004
0.16509,1.1837,1.3669,6.6775,19.702,p0005
1.5362,1.0487,1.4222,9.0334,13.721,p0006
0.77434,1.1392,0.39979,11.879,5.2588,p0007
1.331,0.75924,1.0341,12.216,1.7521,p0008
1.2537,0.9839,1.2166,0.64944,9.4547,p0009
0.83076,0.11547,0.2252,15.634,19.214,p0010
1.1446,1.1653,1.4662,11.216,2.1974,p0011
0.33633,0.22404,0.5654,11.434,11.543,p0012
0.81489,1.2593,0.18456,12.087,7.5881,p0013
0.97576,0.21903,0.5821,17.616,0.61567,p0014
1.9069,1.1363,1.9351,19.654,19.027,p0015
0.23687,0.22172,1.8313,14.93,12.824,p0016
1.4603,0.68978,1.8759,5.6934,13.597,p0017
1.4858,1.2878,0.55059,13.764,1.0791,p0018
0.26175,0.35879,0.65825,6.0198,16.541,p0019
0.21584,0.89215,1.79,11.747,11.788,p0020
0.94066,0.8387,1.7707,2.4065,12.168,p0021
1.0543,1.1298,0.32378,9.0108,13.081,p0022
1.4812,1.339,0.12045,7.0901,1.7,p0023
1.5213,1.4507,0.2081,1.1819,18.575,p0024
0.6931,1.0739,1.6209,0.60221,19.163,p0025
0.99189,1.3342,0.47858,19.703,15.45,p0026
0.57302,0.23081,1.3298,0.74445,3.2537,p0027
0.50978,0.24834,1.6068,12.656,19.992,p0028
1.9882,0.73607,0.6065,13.812,17.772,p0029
1.1004,0.34353,0.19377,13.068,10.342,p0030
0.32403,0.48722,1.0399,14.284,12.036,p0031
0.92878,1.4654,0.82321,10.791,8.0475,p0032
1.2434,0.65191,1.3744,18.392,16.236,p0033
1.7692,1.0942,1.4079,3.8329,8.4029,p0034
0.12687,1.2546,0.9973,4.2922,12.512,p0035
1.3382,1.231,0.15731,7.1111,5.8061,p0036
0.83538,0.31594,0.56941,0.79669,6.6928,p0037
1.4249,0.12341,1.907,7.7172,14.517,p0038
0.96992,0.96704,1.9572,10.075,16.116,p0039
1.5139,1.2094,1.5813,16.199,15.949,p0040
0.2589,0.22827,1.8199,14.807,6.8646,p0041
1.1147,0.79905,0.45255,8.1128,18.866,p0042
0.44756,0.96342,1.1423,18.918,9.7681,p0043
1.129,1.4174,1.5155,12.333,6.1813,p0044
1.5066,0.49715,1.1879,4.2713,1.5963,p0045
1.2843,0.49313,1.2417,15.461,17.248,p0046
0.79982,0.49986,1.1602,2.1309,4.1113,p0047
0.34916,0.27095,1.6865,9.7957,9.2696,p0048
